Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EV9920.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\EV9920\EV9920.PrjPcb|ReportField=Title~BOM_PartType For Project [EV9920.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~234|ReportField=ReportTime~3:25:55 PM|ReportField=ReportDate~11/29/2024|ReportField=ReportDateTime~11/29/2024 3:25:55 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~CMX992-Based Demodulator|ReportField=DataSourceFileName~EV9920.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\EV9920\EV9920.PrjPcb
Cap_0805|ABE_Capacitor|C1, C2, C3, C4, C5, C7, C9, C10, C11, C12, C13, C14, C16, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C50, C51, C52, C53, C54, C55, C56, C57, C58, C62, C63, C99, C104, C110, C115, C117, C118, C119, C120, C126, C129, C132, C133, C134, C135, C137, C143, C144, C150, C153, C154, C155, C156, C157, C158, C161|0805|Cap_0805|74
Cap Pol2|ABE_Capacitor_Directional|C139, C140, C141, C142, C145, C148, C151, C152|0805 - Directional|Cap_0805_Directional|8
Small Signal Schottky Diode, Single, 20 V, 500 mA, 480 mV, 6 A, 125 C   Source:  Datasheet||D3, D4|PMEG2005EB115|PMEG2005EB,115|2
LED_805|ABE_LED|D7, D8, D10, D11|0805 - LED|LED_805|4
ECS45K30B|45 MHz Center 1.2 kOhms Monolithic Crystal Filter Through Hole 2dB 15 kHz|F3:A, F3:B|XTAL_ECS45K30A|ECS45K30A|2
REF_IN|SMA Right Angle Connector|J1|SMA_RA_DIP|SMA Right Angle Connector|1
RX Connector|Header, 4-Pin, Dual row|J4|HDR2X4|Header 4X2|1
RX_IN_2|SMA Right Angle Connector|J5|SMA_RA_DIP|SMA Right Angle Connector|1
RX_LO|SMA Right Angle Connector|J6|SMA_RA_DIP|SMA Right Angle Connector|1
IF_OUT|SMA Right Angle Connector|J7|SMA_RA_DIP|SMA Right Angle Connector|1
IF_IN|SMA Right Angle Connector|J8|SMA_RA_DIP|SMA Right Angle Connector|1
